INDEX,TEXT ,STYLE TEXT
1,"Можно ли давать урок, если нет классной комнаты? Сдавать экзамен без зачетки в кармане? Входит ли вдыхание меловой пыли полной грудью необходимой составной частью в процесс получения высшего образования? Вот Виктор В., например, так не думает. Ему 41 год, он не последний человек в одной из страховых компаний и в то же время – студент университета третьего возраста. Во время перерыва на обед или вечером, когда жена Виктора уже спит, он садится за клавиатуру компьютера, входит в Интернет и начинает грызть гранит науки в том месте, которое ему обозначил профессор, стоящий на кафедре в семи сотнях километров от его дома.",публицистический стиль
2,"Какая дикость! Совсем недавно объявили справедливо: падение рубля – национальная катастрофа. Но, простите, национальная катастрофа с падением рубля произошла гораздо раньше, когда рубль стал равен центу. Вот тогда надо было говорить и спохватываться. Мы все знаем: план экономических реформ никогда не был объявлен. Почему? Если его нет – тогда это авантюра, если он есть – тогда почему его скрывают? Нам известно из прессы: то там, то здесь происходят скандальные случаи приватизации за бесценок. И мы знаем, как катастрофически падает наша рядовая и блистательная наука, падает наше образование, падает медицина, миллиарды долларов в год разграбляются и увозятся из страны. Третий год мы слышим одно и то же: борьба с преступностью. Скажите, где открытые суды, где грозные приговоры? Можете вы назвать, слышали вы их?",публицистический стиль
3,"Лес издавна считается верным помощником и кормильцем человека. Он щедро одаривает своими богатствами всех, кто к нему внимателен и чуток. Ягоды и грибы, древесина и лечебные травы, свежий воздух - это всё можно получить, побывав в лесу. Однако многие из нас забывают о том, что лес - живой организм; мы бездумно распоряжаемся его ресурсами, оставляем после себя горы мусора, забываем тушить костры после пикников. Такое поведение пагубно сказывается на жизни леса. Люди, любите лес, берегите его красоту: наше благополучие во многом зависит от его здоровья!",публицистический стиль
4,"Название шоу простое и суровое: «Рабство». Эта смелая выставка открылась этой весной в могущественном Рейксмузеуме в Амстердаме. Она демонстрирует важность этой отвратительной торговли в подъеме и богатстве Нидерландов, сочетая кандалы и инвентарь рабов с произведениями искусства. Есть металлическое кольцо, которое находится в Рейксмузеуме с XIX века. Ранее его каталогизировали как ошейник для собак, теперь считается, что он использовался на людях. В этом тревожном шоу есть и другие столь же пугающие экспонаты — и в основе всех них находятся две известные картины Рембрандта.",публицистический стиль
5,"В марте 2020 года на окнах кафе появились плакаты: «Мы стремимся сгладить кривую, увидимся через две недели!». Буквально за ночь полки магазинов опустели, люди покупали рулоны туалетной бумаги, как орехи, на долгую зиму. Наши календари вдруг стали до бесконечности пустыми. Мы каждый день волновались, что смерть протянет руку и заберет любимого человека. Мы были сбиты с толку и напуганы, и еще не понимали правил и последствий нашего нового мира. Мы настаивали на словах «пауза», «откладывание жизни». Вначале мы относились к пандемии как к промежутку времени между двумя реальностями, надеясь, что сможем задержать дыхание и дождаться возобновления событий. Роман «Между двумя царствами» Сулейки Джауад появился как путеводитель по похожему состоянию.",публицистический стиль
6,"В Германии завершились парламентские выборы. Как сообщает телеканал ARD, согласно предварительным данным Федеральной избирательной комиссии страны по итогам подсчёта данных всех 299 округов после подсчёта 100% бюллетеней во всех округах победу одержала Социал-демократическая партия Германии — она получает 25,7% голосов ( лидер — Олаф Шольц).",публицистический стиль
7,"Достоевского массово издают в Китае, Корее, Аргентине, Бразилии, не говоря уж о Европе, где с его романами знакомы уже очень давно. Правда, долгое время Достоевского на Западе полагали автором полицейских и фельетонных романов, которые пишутся за месяц, читаются за вечер и забываются через пару дней. Тех же «Братьев Карамазовых» считали криминальным бытовым романчиком и при переводе выбрасывали из него «Легенду о Великом Инквизиторе». Теперь же на конференции Института русской литературы РАН, прошедшей нынешним летом, швейцарская писательница Ильма Ракуза заявила: «Безусловно герой нашего времени — Иван Карамазов и его «Легенда о Великом Инквизиторе», в которой дан глубокий анализ механизмов тоталитаризма и которая и по сей день остаётся необычайно актуальной».",публицистический стиль
8,"В годы Великой Отечественной войны наравне с мужчинами на защиту Родины встали и женщины. Больше всего их насчитывалось в военно-медицинских учреждениях (70% младшего и среднего персонала), подразделениях связи (до 80%) и дорожных войсках (больше половины). Но вот с женщинами-танкистками все было по-иному: по оценкам ученых-историков в войсках женщин-танкисток насчитывалось не более 20. Поэтому военная судьба Александры Ращупкиной во всех смыслах уникальна. Ведь Александра, или Сашка-сорванец, как называли её сослуживцы, смогла повторить историю «кавалерист-девицы» Надежды Дуровой, участницы войны с французами 1812 года.",публицистический стиль
9,"Александра начала свой боевой путь в составе знаменитой 62-ой армии генерала Василия Чуйкова, на Сталинградском фронте. Отлично водила танк, и сослуживцы дали ей прозвище Санька-сорванец. Она принимала активное участие в освобождении Украины, Польши, проявляя при этом мужество и героизм. За три года службы женщина-танкист прошла с товарищами огонь и воду. Все это время служила механиком-водителем танка, и никто не догадывался, что рядом с ними находится женщина.",публицистический стиль
10,"«Как сообщили представители министерства культуры столицы, будет реконструировано здание бывшего крупного кукольного театра «Дружба», который был официально открыт в 2001—2002 годах. После реконструкции кукольный театр вновь возобновит свою деятельность. Также власти планируют отвести часть здания под детский развлекательный комплекс».",публицистический стиль
