INDEX,TEXT ,STYLE TEXT
1,"В Германии завершились парламентские выборы. Как сообщает телеканал ARD, согласно предварительным данным Федеральной избирательной комиссии страны по итогам подсчёта данных всех 299 округов после подсчёта 100% бюллетеней во всех округах победу одержала Социал-демократическая партия Германии — она получает 25,7% голосов ( лидер — Олаф Шольц).
",публицистический стиль
2,"Достоевского массово издают в Китае, Корее, Аргентине, Бразилии, не говоря уж о Европе, где с его романами знакомы уже очень давно. Правда, долгое время Достоевского на Западе полагали автором полицейских и фельетонных романов, которые пишутся за месяц, читаются за вечер и забываются через пару дней. Тех же «Братьев Карамазовых» считали криминальным бытовым романчиком и при переводе выбрасывали из него «Легенду о Великом Инквизиторе». Теперь же на конференции Института русской литературы РАН, прошедшей нынешним летом, швейцарская писательница Ильма Ракуза заявила: «Безусловно герой нашего времени — Иван Карамазов и его «Легенда о Великом Инквизиторе», в которой дан глубокий анализ механизмов тоталитаризма и которая и по сей день остаётся необычайно актуальной».
",публицистический стиль
3,"В годы Великой Отечественной войны наравне с мужчинами на защиту Родины встали и женщины. Больше всего их насчитывалось в военно-медицинских учреждениях (70% младшего и среднего персонала), подразделениях связи (до 80%) и дорожных войсках (больше половины). Но вот с женщинами-танкистками все было по-иному: по оценкам ученых-историков в войсках женщин-танкисток насчитывалось не более 20. Поэтому военная судьба Александры Ращупкиной во всех смыслах уникальна. Ведь Александра, или Сашка-сорванец, как называли её сослуживцы, смогла повторить историю «кавалерист-девицы» Надежды Дуровой, участницы войны с французами 1812 года.
",публицистический стиль
4,"Александра начала свой боевой путь в составе знаменитой 62-ой армии генерала Василия Чуйкова, на Сталинградском фронте. Отлично водила танк, и сослуживцы дали ей прозвище Санька-сорванец. Она принимала активное участие в освобождении Украины, Польши, проявляя при этом мужество и героизм. За три года службы женщина-танкист прошла с товарищами огонь и воду. Все это время служила механиком-водителем танка, и никто не догадывался, что рядом с ними находится женщина.
",публицистический стиль
5,"«Как сообщили представители министерства культуры столицы, будет реконструировано здание бывшего крупного кукольного театра «Дружба», который был официально открыт в 2001—2002 годах. После реконструкции кукольный театр вновь возобновит свою деятельность. Также власти планируют отвести часть здания под детский развлекательный комплекс».",публицистический стиль
6,"Вещество может существовать в трёх агрегатных состояниях: твёрдом, жидком и газообразном. При нагревании твёрдые вещества плавятся, а жидкие закипают, превращаясь в пар. Понижение температуры приводит к обратным превращениям. Некоторые газы при высоком давлении сжижаются. При всех этих явлениях мельчайшие частицы вещества не разрушаются. Таким образом, вещество, изменяя агрегатное состояние, не превращается в другое.",научный стиль
7,"Тело амёбы представляет собой одну клетку до 0,25 мм длиной. Её форма постоянно меняется, благодаря чему клетка перемещается. Во время движения на передней стороне клетки возникают выросты, в которые постепенно перетекает цитоплазма из центральной и задней части клетки. Эти выросты называются ложноножками. Когда на пути амёбы возникает скопление бактерий или остатки других организмов, ложноножки окружают их и замыкают в себе. Так начинается процесс пищеварения у амёбы протей.",научный стиль
8,"Климатические пояса – это широтные полосы земного шара с относительно однородным климатом. Выделяют 7 основных климатических поясов: экваториальный, два тропических, два умеренных, два полярных. Между основными климатическими поясами есть 6 переходных: два субэкваториальных, два субтропический, субарктический, субантарктический (префикс “суб” обозначает “между”).",научный стиль
9,"Дождь – атмосферные осадки, выпадающие из облаков в виде капель жидкости со средним диаметром от 0,5 до 6–7 мм. Обложной дождь – дождь, состоящий из капель средней величины, длительно выпадающий из облаков слоисто-дождевых или высокослоистых, умеренный и достаточно равномерный по интенсивности. Выпадение обложных дождей непрерывно или с короткими перерывами продолжается несколько часов, иногда значительную часть суток или даже более суток.",научный стиль
10,"Верблюд — выносливое животное. Он долго может обходиться без пищи и воды. Стопы ног у верблюда грубые и мозолистые, он не чувствует высокой температуры песка пустыни.
Верблюд хорошо переносит и холод, так как тело его покрыто шерстью.
строгий отбор языковых средств; строгий отбор языковых средств;",научный стиль
